2022-02-03 00:10:40.671> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0286 29136-CZ000 2022-02-01
2022-02-03 00:10:41.544> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0504 29135-N7000 2022-02-02
2022-02-03 00:10:42.605> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0644 29134-N7000 2022-02-01
2022-02-03 00:10:52.278> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0900 29150-CZ000 2022-01-27
2022-02-03 00:10:54.259> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:10:56.942> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:11:48.112> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0082 29135-N7600 2022-02-01
2022-02-03 00:11:50.748> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0048 29150-N7600 2022-02-01
2022-02-03 00:12:58.860> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0575 29136-N70002022-01-31 
2022-02-03 00:13:00.046> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0497 29135-N7000 2022-02-02
2022-02-03 00:13:00.904> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0637 29134-N7000 2022-02-01
2022-02-03 00:13:06.301> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 1460 29150-N7000 2022-01-31
2022-02-03 00:13:08.111> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:13:10.560> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:14:02.744> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0243 29136-CZ000 2022-02-01
2022-02-03 00:14:03.399> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0476 29135-N7000 2022-02-02
2022-02-03 00:14:04.086> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0651 29134-N7000 2022-02-01
2022-02-03 00:14:09.000> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0881 29150-CZ000 2022-01-27
2022-02-03 00:14:11.527> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:14:14.351> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:15:08.906> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15TU
2022-02-03 00:15:09.857> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15HL
2022-02-03 00:15:11.043> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 28285-0805000000015
2022-02-03 00:15:22.400> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 070122000500062827308050
2022-02-03 00:15:30.668> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4600     SPP5LEHG4M0001 T220127HA5AA00001211A M CL009PP5L0042585
2022-02-03 00:15:32.478> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4600     SPP5REHG4M0001 T220127HA6AA00000021A M CR009PP5R0042289
2022-02-03 00:15:33.679> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210823V3D1AL5100QHW0733MN
2022-02-03 00:16:07.969> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0582 29136-N70002022-01-31 
2022-02-03 00:16:09.451> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0487 29135-N7000 2022-02-02
2022-02-03 00:16:10.075> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0631 29134-N7000 2022-02-01
2022-02-03 00:16:15.239> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 1446 29150-N7000 2022-01-31
2022-02-03 00:16:17.018> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:16:19.857> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:17:09.373> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0254 29136-CZ000 2022-02-01
2022-02-03 00:17:10.699> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0500 29135-N7000 2022-02-02
2022-02-03 00:17:11.417> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0653 29134-N7000 2022-02-01
2022-02-03 00:17:19.544> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0876 29150-CZ000 2022-01-27
2022-02-03 00:17:21.526> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:17:23.086> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:18:20.667> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0581 29136-N70002022-01-31 
2022-02-03 00:18:21.385> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0498 29135-N7000 2022-02-02
2022-02-03 00:18:22.492> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0643 29134-N7000 2022-02-01
2022-02-03 00:18:29.138> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 1454 29150-N7000 2022-01-31
2022-02-03 00:18:30.932> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:18:33.990> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:19:22.898> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0597 29136-N70002022-01-31 
2022-02-03 00:19:23.631> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0483 29135-N7000 2022-02-02
2022-02-03 00:19:24.504> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0647 29134-N7000 2022-02-01
2022-02-03 00:19:30.651> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0208 29150-N7000 2022-02-01
2022-02-03 00:19:32.398> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:19:35.082> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:20:29.184> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15TU
2022-02-03 00:20:29.387> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15HL
2022-02-03 00:20:29.933> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 28285-0805000000015
2022-02-03 00:20:41.898> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 070122000500062827308050
2022-02-03 00:20:49.043> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4600     SPP5LEHG4M0001 T220127HA5AA00001191A M CL009PP5L0042583
2022-02-03 00:20:49.714> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4600     SPP5REHG4M0001 T220127HA6AA00001541A M CR009PP5R0042441
2022-02-03 00:20:50.604> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210823V3D1AL5100QHW0726MN
2022-02-03 00:21:56.937> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0263 29136-CZ000 2022-02-01
2022-02-03 00:21:57.904> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0479 29135-N7000 2022-02-02
2022-02-03 00:21:58.653> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0642 29134-N7000 2022-02-01
2022-02-03 00:22:07.171> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0879 29150-CZ000 2022-01-27
2022-02-03 00:22:08.934> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:22:12.210> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:22:44.534> Wait for trolley! Check limit switch.
2022-02-03 00:22:45.376> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: N70 0481 29135-N7000 2022-02-02
2022-02-03 00:22:46.172> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0640 29134-N7000 2022-02-01
2022-02-03 00:22:52.637> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0567 29136-N70002022-01-31 
2022-02-03 00:22:54.368> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0481 29135-N7000 2022-02-02
2022-02-03 00:22:56.490> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0640 29134-N7000 2022-02-01
2022-02-03 00:23:04.758> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0224 29150-N7000 2022-02-01
2022-02-03 00:23:07.067> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:23:07.800> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:23:47.566> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0086 29135-N7600 2022-02-01
2022-02-03 00:23:49.922> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0047 29150-N7600 2022-02-01
2022-02-03 00:23:52.246> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:23:54.680> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:24:44.617> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0257 29136-CZ000 2022-02-01
2022-02-03 00:24:45.803> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0485 29135-N7000 2022-02-02
2022-02-03 00:24:46.473> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0641 29134-N7000 2022-02-01
2022-02-03 00:24:51.076> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0878 29150-CZ000 2022-01-27
2022-02-03 00:24:54.695> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:24:55.725> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:25:25.678> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15MU
2022-02-03 00:25:26.036> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15ML
2022-02-03 00:25:28.345> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4510     SPP2LEHG4M0001 T220128HA5CA00010761A M CL009PP2L0046114
2022-02-03 00:25:29.671> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4510     SPP2REHG4M0001 T220128HA6CA00010121A M CR009PP2R0045893
2022-02-03 00:25:30.514> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210823V3D1AL5100QHW0735MN
2022-02-03 00:26:37.908> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0558 29136-N70002022-01-31 
2022-02-03 00:26:38.485> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0489 29135-N7000 2022-02-02
2022-02-03 00:26:39.796> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0658 29134-N7000 2022-02-01
2022-02-03 00:26:45.396> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0209 29150-N7000 2022-02-01
2022-02-03 00:26:46.863> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:26:48.313> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:27:21.340> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0608 29136-N70002022-01-31 
2022-02-03 00:27:22.432> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0484 29135-N7000 2022-02-02
2022-02-03 00:27:23.118> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0608 29134-N7000 2022-02-01
2022-02-03 00:27:28.500> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0225 29150-N7000 2022-02-01
2022-02-03 00:27:30.138> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:27:30.840> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:28:40.996> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0264 29136-CZ000 2022-02-01
2022-02-03 00:28:41.932> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0486 29135-N7000 2022-02-02
2022-02-03 00:28:43.445> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0611 29134-N7000 2022-02-01
2022-02-03 00:28:48.812> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0875 29150-CZ000 2022-01-27
2022-02-03 00:28:50.153> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0102220007012064971N7000
2022-02-03 00:28:50.684> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0202220005012064981N7000
2022-02-03 00:29:25.582> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0591 29136-N70002022-01-31 
2022-02-03 00:29:26.222> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0474 29135-N7000 2022-02-02
2022-02-03 00:29:27.517> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0660 29134-N7000 2022-02-01
2022-02-03 00:29:32.899> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0212 29150-N7000 2022-02-01
2022-02-03 00:30:01.666> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0588 29136-N70002022-01-31 
2022-02-03 00:30:02.430> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0471 29135-N7000 2022-02-02
2022-02-03 00:30:03.132> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0607 29134-N7000 2022-02-01
2022-02-03 00:30:08.062> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0213 29150-N7000 2022-02-01
2022-02-03 00:30:39.060> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 260122004500062827307620
