2021-12-23 00:11:15.796> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0837 29136-CZ000 2021-12-20
2021-12-23 00:11:16.732> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1850 29135-N7000 2021-12-20
2021-12-23 00:11:18.323> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0447 29134-N7000 2021-12-16
2021-12-23 00:11:20.975> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0995 29150-CZ000 2021-12-20
2021-12-23 00:11:25.562> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210008012064971N7000
2021-12-23 00:11:26.451> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210002012064981N7000
2021-12-23 00:12:26.778> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0076 29135-N7600 2021-12-16
2021-12-23 00:12:27.636> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0481 29150-N7600 2021-12-15
2021-12-23 00:12:59.305> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0453 29136-N70002021-12-17 
2021-12-23 00:13:00.148> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1821 29135-N7000 2021-12-20
2021-12-23 00:13:02.254> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0426 29134-N7000 2021-12-16
2021-12-23 00:13:05.296> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0014 29150-N7000 2021-12-16
2021-12-23 00:13:10.132> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210008012064971N7000
2021-12-23 00:13:10.881> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210002012064981N7000
2021-12-23 00:13:51.442> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2021-12-23 00:13:52.472> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2021-12-23 00:13:59.492> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T210927IH31A0003178CHL03
2021-12-23 00:14:47.604> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0835 29136-CZ000 2021-12-20
2021-12-23 00:14:48.306> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1854 29135-N7000 2021-12-20
2021-12-23 00:14:49.960> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0430 29134-N7000 2021-12-16
2021-12-23 00:14:52.596> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0994 29150-CZ000 2021-12-20
2021-12-23 00:14:59.148> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210008012064971N7000
2021-12-23 00:14:59.835> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2112210002012064981N7000
2021-12-23 00:15:33.282> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0434 29136-N70002021-12-17 
2021-12-23 00:15:34.265> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1837 29135-N7000 2021-12-20
2021-12-23 00:15:37.385> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0440 29134-N7000 2021-12-16
2021-12-23 00:15:40.615> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0015 29150-N7000 2021-12-16
2021-12-23 00:16:23.859> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0075 29135-N7600 2021-12-16
2021-12-23 00:16:26.464> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0476 29150-N7600 2021-12-15
2021-12-23 00:17:23.827> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0893 29136-CZ000 2021-12-20
2021-12-23 00:17:24.498> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1845 29135-N7000 2021-12-20
2021-12-23 00:17:26.558> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0428 29134-N7000 2021-12-16
