2021-12-22 00:02:25.832> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0097 29136-CZ000 2021-12-10
2021-12-22 00:02:27.002> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1201 29135-N7000 2021-12-20
2021-12-22 00:02:31.292> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1367 29134-N7000 2021-12-16
2021-12-22 00:02:37.283> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0757 29150-CZ000 2021-12-20
2021-12-22 00:02:47.579> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 1512210003012064971N7000
2021-12-22 00:02:49.529> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2012210004012064981N7000
2021-12-22 00:03:29.014> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2021-12-22 00:03:30.699> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2021-12-22 00:03:42.478> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T211005IH31A0004134CHL03
2021-12-22 00:11:33.940> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0115 29136-CZ000 2021-12-10
2021-12-22 00:11:35.173> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1209 29135-N7000 2021-12-20
2021-12-22 00:11:36.171> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1360 29134-N7000 2021-12-16
2021-12-22 00:11:47.310> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0766 29150-CZ000 2021-12-20
2021-12-22 00:11:51.288> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 1512210003012064971N7000
2021-12-22 00:11:53.472> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2012210004012064981N7000
2021-12-22 00:13:16.576> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0189 29136-N70002021-12-14 
2021-12-22 00:13:18.136> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1172 29135-N7000 2021-12-20
2021-12-22 00:13:19.010> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1365 29134-N7000 2021-12-16
2021-12-22 00:13:25.359> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0315 29150-N7000 2021-12-13
2021-12-22 00:13:28.261> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 1512210003012064971N7000
